Symptom_Name,Index
Swollen Extremities,292
Swollen Joints,293
Swollen Lymph Nodes,294
Swollen Or Red Tonsils,295
Symptom Anhedonia,296
Symptom Clammy Skin,297
Symptom Claudication,298
Symptom Cold Intolerance Symptom,299
Symptom Compulsions,300
Symptom Digital Ulcers,301
Symptom Enthesitis,302
Symptom Exercise Intolerance,303
Symptom Facial Droop,304
Symptom Fatigue On Exertion,305
Symptom Frequent Nosebleeds,306
Symptom Gi Bleeding,307
Symptom Hair Loss Symptom,308
Symptom Heat Intolerance Symptom,309
Symptom Hot Flashes,310
Symptom Hypersomnia,311
Symptom Livedo Reticularis,312
Symptom Low Mood,313
Symptom Migraine Symptom,314
Symptom Obsessions,315
Symptom Panic Attacks,316
Symptom Paroxysmal Nocturnal Dyspnea,317
Symptom Photosensitivity Symptom,318
Symptom Prolonged Bleeding,319
Symptom Rash Psoriasiform,320
Symptom Recurrent Infections,321
Symptom Reduced Range Of Motion,322
Symptom Shortness Of Breath On Exertion,323
Symptom Sinus Pain,324
Symptom Skin Thickening,325
Symptom Social Withdrawal,326
Symptom Spasticity,327
Symptom Spine Rigidity,328
Symptom Splenomegaly Symptom,329
Symptom Suicidal Ideation,330
Symptom Syncope,331
Symptom Telangiectasia,332
Symptom Tendon Tenderness,333
Symptom Tremor Symptom,334
Symptom Vision Blur,335
Tachycardia,336
Throat Feels Tight,337
Throat Redness,338
Throat Swelling,339
Tingling/Paresthesia,340
Tongue Lesions,341
Too Little Hair,342
Toothache,343
Tremors,344
Ulcers On Tongue,345
Unintentional Weight Loss,346
Unpredictable Menstruation,347
Unsteadiness,348
Unsterile Injection History,349
Unusual Behavior,350
Unusual Color Or Odor To Urine,351
Unwanted Hair,352
Upper Abdominal Pain,353
Urinary Retention,354
Urticaria (Hives),355
Vaginal Discharge,356
Vaginal Dryness,357
Vaginal Itching,358
Vaginal Pain,359
Vaginal Redness,360
Vertigo,361
Visual Disturbances,362
Vomiting,363
Vulvar Irritation,364
Warts,365
Watery Eyes,366
Weakness,367
Weight Gain,368
Weight Loss,369
Wheezing,370
Wrinkles On Skin,371
Yellow Crust,372
Yellow Eyes,373
